CurrentRatio,QuickRatio,CashRatio,P/E ,Earnings Yield ,ROCE ,CASA ,Sector P/E,Status,Level,Rating
0.3310960922,0.370957488,-1.454801411,1.357958653,-0.6968541581,0.3138135511,-1.115697961,-2.213527285,Accepted,High,B
0.3279533474,0.07588734314,-0.5321936281,0.4711975047,-0.6530427821,-0.4789921757,-1.354571151,-1.23911462,Accepted,Low,B
0.6237925491,0.5039861621,-0.6470112657,-0.2072638376,-0.6111276864,0.2993723699,-0.2813271544,-0.2353826381,Rejected,Low,A
0.003123346233,-0.005636527155,-0.8159352718,1.204640776,-0.3837182201,-0.1537744268,-1.129106197,-1.833995635,Accepted,Medium,A
-0.9110284267,-0.3580497755,0.4647539984,0.4110860394,1.162236039,0.6977399496,1.667793908,0.6564908516,Rejected,Low,A
-0.6917999572,-0.6906286382,-0.2733163979,1.891949545,0.05634288568,-0.9114464648,-1.674560679,-2.417437522,Accepted,High,A
0.4053228017,0.1170156936,-0.5758336055,0.4254924984,-0.739794018,-0.5045574724,-1.447927043,-1.265035959,Accepted,Low,C
0.8170937054,0.6464840068,-0.8833802638,-0.1972602606,-0.8345130583,0.3426145053,-0.4851858438,-0.4377753508,Accepted,Low,A
-1.347498151,-1.852123965,3.210917398,-1.009143933,1.159570532,-2.80487669,-0.8029428904,1.74823434,Rejected,Medium,C
0.6449954223,0.4349251052,-0.951617085,0.3364741125,-0.8719680952,-0.01154276297,-1.101795475,-1.184621976,Accepted,Medium,C
1.655253984,-0.2780090792,2.080282997,-3.574521233,-1.97942074,-3.778432855,-3.784262713,1.910860505,Rejected,Medium,D
-1.96231875,-1.394329283,2.101410726,0.25355427,2.199467672,-0.3189048137,1.933376741,1.5837031,Rejected,Low,D
-0.450375723,-0.1951935701,-1.092776025,2.173017781,-0.0512402217,0.07652153744,-1.035318802,-2.675969638,Accepted,Medium,B
1.114170455,1.587671227,-2.534850435,0.5694127631,-0.8314176683,2.518530495,1.10707681,-0.974029189,Rejected,High,D
2.532214681,1.690450403,-1.647938458,-1.716803469,-2.494376806,0.2318433582,-1.619129334,-0.08026479158,Accepted,High,B
-0.4417612451,0.05917764686,-0.5122923887,0.9147102871,0.5284104875,0.9670961545,0.9918776924,-0.4695466187,Rejected,Low,D
